# Exp label: Wake98A Recorded at SSS_A-E
# Device ID: ID47481 Mouse group: MT Mouse ID: ES020-1-1-G6_1 DOB: 2019/03/24
# Start: 2019-05-25 08:00:00 End: 2019-05-27 08:00:00 Note: Yes
# Epoch num: 21600
# Sampling frequency: 100
# Staged by FASTER2
Stage,REM probability,NREM probability,Wake probability,NaN ratio EEG-TS,NaN ratio EMG-TS,Outlier ratio EEG-TS,Outlier ratio EMG-TS
NREM,1.9132777194971777e-77,1.0,1.9823045547073212e-32,0.0,0.0,0.0,0.0
NREM,1.5827064177702604e-21,0.9999997229897801,2.770039095894255e-07,0.0,0.0,0.007751937984496124,0.0
NREM,1.010455311471794e-20,0.9999992967643919,7.03244665134891e-07,0.0,0.0,0.007751937984496124,0.0
NREM,1.1315063774427758e-19,0.9999995578547054,4.421524974894534e-07,0.0,0.0,0.015503875968992248,0.0
NREM,5.1984589880494445e-21,0.9999999522115115,4.778875606793437e-08,0.0,0.0,0.015503875968992248,0.0
NREM,1.668974493563366e-14,0.9995846961961722,0.0004153038039014645,0.0,0.0,0.0,0.0
NREM,1.4063533770136286e-18,0.9999993064559607,6.935531132234983e-07,0.0,0.0,0.023255813953488372,0.0
NREM,6.319039718605074e-17,0.9999959923814729,4.0076149088939965e-06,0.0,0.0,0.007751937984496124,0.0
NREM,2.9358087816597407e-20,0.9999994853279947,5.146655720373874e-07,0.0,0.0,0.007751937984496124,0.0
NREM,2.4718210158146085e-18,0.9999968190145981,3.1809934668435715e-06,0.0,0.0,0.0,0.0
NREM,8.720955700325537e-20,0.9999977424184198,2.2575917170577297e-06,0.0,0.0,0.015503875968992248,0.0
NREM,3.172763452099984e-16,0.9996921137464793,0.00030788626269185736,0.0,0.0,0.0,0.0
NREM,1.7870088347295758e-15,0.9711816202577881,0.028818379738857633,0.0,0.0,0.007751937984496124,0.0
Wake,5.521141314544911e-25,3.593089842038826e-06,0.9999964069057546,0.0,0.0,0.0,0.0
Wake,1.1086635034339717e-25,2.63017213655237e-13,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,2.7290185112206505e-17,4.8352943754209225e-15,1.0,0.0,0.0,0.023255813953488372,0.0
Wake,2.8724482146177507e-25,8.001360601869499e-13,1.0,0.0,0.0,0.015503875968992248,0.0
Wake,1.5606269195103608e-38,4.44009733988183e-11,0.9999999999417923,0.0,0.0,0.0,0.0
Wake,1.655308813172879e-27,2.839956187344481e-17,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,8.931929633936875e-22,3.9834387721540245e-12,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,2.0482453264008318e-23,1.350774300837193e-13,1.0,0.0,0.0,0.0,0.0
Wake,2.7251584047957866e-26,2.444759490289251e-14,1.0,0.0,0.0,0.023255813953488372,0.0
Wake,2.578862938180427e-25,6.55124617591974e-11,0.9999999999417923,0.0,0.0,0.007751937984496124,0.0
Wake,1.2432731824206265e-24,1.0014246487772154e-11,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,1.779154329806579e-27,7.19889748773051e-12,1.0,0.0,0.0,0.0,0.0
Wake,2.3679153877697505e-26,1.1389264326594825e-11,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,3.284024108966441e-24,8.159802241475021e-13,1.0,0.0,0.0,0.015503875968992248,0.0
Wake,6.426532423743429e-20,1.0672993479430853e-11,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,7.479315675426957e-20,1.9014004693398232e-14,1.0,0.0,0.0,0.015503875968992248,0.0
Wake,1.4560876083294265e-13,3.0840052133662397e-10,0.9999999996797122,0.0,0.0,0.0,0.0
Wake,5.5722667726327705e-24,1.2235430203630294e-12,1.0,0.0,0.0,0.015503875968992248,0.0
Wake,1.5618258442402642e-25,6.479139528452089e-12,1.0,0.0,0.0,0.015503875968992248,0.0
Wake,5.139899616029591e-25,3.572788938848874e-14,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,4.226386109437789e-35,6.919118259184359e-13,1.0,0.0,0.0,0.0,0.0
Wake,1.0841129038873079e-24,3.179135180618395e-13,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,1.3292229029021622e-29,9.88637108477693e-11,0.9999999999126885,0.0,0.0,0.007751937984496124,0.0
Wake,3.83142668972285e-23,4.675631128689794e-12,1.0,0.0,0.0,0.0,0.0
Wake,4.368415971559483e-21,1.5689413592298783e-12,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,1.6648645282723342e-34,1.616303084936527e-10,0.999999999825377,0.0,0.0,0.0,0.0
Wake,1.4669644130700532e-26,3.1430560867315597e-13,1.0,0.0,0.0,0.0,0.0
Wake,2.667100574377437e-32,1.6091595153741892e-12,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,2.5718586180199217e-34,1.7453524582831738e-10,0.999999999825377,0.0,0.0,0.007751937984496124,0.0
Wake,7.188138859564498e-22,9.218778892032692e-13,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,5.320415507257159e-29,2.2363711647957106e-11,0.9999999999708962,0.0,0.0,0.0,0.0
Wake,5.827970508022591e-36,1.4626798666055185e-14,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,3.9568347129899716e-26,5.679387375018372e-13,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,5.2753256900823756e-20,2.195696571421367e-10,0.9999999997671694,0.0,0.0,0.0,0.0
Wake,2.412723654491168e-12,1.2024510156804832e-07,0.999999879740567,0.0,0.0,0.007751937984496124,0.0
Wake,9.52956212371066e-15,1.4538366982132658e-05,0.9999854616364148,0.0,0.0,0.0,0.0
Wake,1.208419116605197e-12,5.793996033180035e-07,0.9999994205999028,0.0,0.0,0.023255813953488372,0.0
Wake,1.9123010361696074e-11,4.0806102725048727e-07,0.9999995919161534,0.0,0.0,0.007751937984496124,0.0
Wake,5.5084329876420896e-21,3.339292105547094e-09,0.9999999966530595,0.0,0.0,0.007751937984496124,0.0
Wake,1.7133557310524658e-20,1.4351201895241828e-10,0.9999999998544808,0.0,0.0,0.0,0.0
